Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
10531,Tamil Nadu,Construction of additional rooms and halls in the existing public and community building,WS/MP751/2025-2026/176690,MADURAI(DISTRICT COLLECTOR MADURAI_IDA),S Venkatesan,MADURAI,26-Mar-26,Bavithira Builders,Payment Success,999902
10532,Punjab,Development of playfields and sports grounds,WS/MP18155/2025-2026/265006,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),27-Apr-26,Pardeep Singh Massn,Payment Success,7500
10533,Punjab,Development of playfields and sports grounds,WS/MP18155/2025-2026/265006,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),24-Mar-26,Pardeep Singh Massn,Payment Success,7500
10534,Punjab,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP716/2025-2026/189754,MANSA(DEPUTY COMMISSIONER MANSA_IDA),Smt Harsimrat Kaur Badal,BHATINDA,24-Mar-26,Guru Nanak Cement Store Kahangarh,Payment Success,15225
10535,Punjab,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP716/2025-2026/189754,MANSA(DEPUTY COMMISSIONER MANSA_IDA),Smt Harsimrat Kaur Badal,BHATINDA,24-Mar-26,Darshan Kumar,Payment Success,62500
10536,Punjab,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP716/2025-2026/189754,MANSA(DEPUTY COMMISSIONER MANSA_IDA),Smt Harsimrat Kaur Badal,BHATINDA,24-Mar-26,Darshan Kumar,Payment Success,12500
10537,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151425,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10538,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151424,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10539,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151422,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10540,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151420,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10541,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151414,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10542,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151408,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10543,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151406,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10544,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151404,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10545,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151402,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10546,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151400,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10547,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151396,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10548,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151395,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10549,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151392,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10550,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151393,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10551,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151394,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10552,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151397,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10553,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151398,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10554,Uttar Pradesh,Lighting of public spaces,WS/MP18227/2025-2026/151399,AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA),DAROGA PRASAD SAROJ,LALGANJ (SC),22-Mar-26,DPS Enterprises,Payment Success,306566
10555,Madhya Pradesh,Improvement of electricity distribution infrastructure,WS/MP18107/2025-2026/258131,JHABUA(DISTRICT COLLECTOR JHABUA_IDA),ANITA NAGARSINGH CHOUHAN,RATLAM(ST),23-Mar-26,Gram Panchayat Uberao,Payment Success,415784
10556,Gujarat,Construction of boundary walls of existing public and community buildings,WS/MP18320/2025-2026/175626,BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA),GENIBEN NAGAJI THAKOR,BANASKANTHA,09-Apr-26,RAH GRUP GRAM PANCHAYAT,Payment Success,500000
10557,Madhya Pradesh,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP638/2026-2027/236413,CHHATARPUR(District Collector Chhatarpur_IDA),Virendra Kumar,TIKAMGARH(SC),09-Apr-26,GRAM PANCHAYAT MATODHA CHOUBAN,Payment Success,124582
10558,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18055/2025-2026/221991,PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA),RAJPALSINH MAHENDRASINH JADAV,PANCHMAHAL,20-Mar-26,MALAV GRAM PANCHAYAT,Payment Success,300000
10559,Gujarat,Construction of footpaths and pedestrian ways,WS/MP18055/2025-2026/221993,PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA),RAJPALSINH MAHENDRASINH JADAV,PANCHMAHAL,14-May-26,MALAV GRAM PANCHAYAT,Payment Success,200000
10560,Tamil Nadu,Street lights,WS/MP393/2025-2026/167700,SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA),Shri Karti P Chidambaram,SIVAGANGA,24-Mar-26,GOPALAKRISHNAN,Payment Success,700000
10561,Gujarat,Construction of boundary walls of existing public and community buildings,WS/MP18055/2025-2026/176634,PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA),RAJPALSINH MAHENDRASINH JADAV,PANCHMAHAL,20-Mar-26,PARUNA GRAM PANCHAYAT,Payment Success,200000
10562,Maharashtra,Construction of buildings for community cultural activities,WS/MP18132/2025-2026/174565,SANGLI(DISTRICT COLLECTOR SANGLI_IDA),VISHAL,SANGLI,23-Mar-26,SHRIMAN ABASAHEB MAZUR SAHKARI SOCIETY LTD MHAISAL,Payment Success,1000000
10563,Chhattisgarh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP429/2025-2026/242642,KORBA(Collector-Korba),Jyotsna Charandas Mahant,KORBA,14-Jul-26,CEO JP Pali sansad mad 18th,Payment Success,125000
